"YEAR","MONTH","CITY","COUNT"
1960,8,"KENORA",7
1960,8,"KINGSTON",53
1960,8,"KITCHENER",58
1960,8,"LEAMINGTON",8
1960,8,"LEASIDE",8
1960,8,"LINDSAY",11
1960,8,"LONDON",121
1960,8,"LONDON TWP",7
1960,8,"MIMICO",7
1960,8,"MOUNTJOY TWP",8
1960,8,"N YORK TWP",41
1960,8,"NEW LISKEARD",6
1960,8,"NEWMARKET",13
1960,8,"NIAGARA FALLS",30
1960,8,"NORTH BAY",24
1960,8,"OAKVILLE",13
1960,8,"ORILLIA",24
1960,8,"OSHAWA",43
1960,8,"OTTAWA",184
1960,8,"OWEN SOUND",14
1960,8,"PEMBROKE",21
1960,8,"PETERBOROUGH",38
1960,8,"PETROLIA",8
1960,8,"PORT ARTHUR",43
1960,8,"PORT COLBORNE",15
1960,8,"PORT CREDIT",12
1960,8,"PORT HOPE",14
1960,8,"PRESCOTT",7
1960,8,"RENFREW",7
1960,8,"RIVERSIDE",6
1960,8,"SARNIA",25
1960,8,"SAULT STE MARIE",55
1960,8,"SCARBOROUGH TWP",55
1960,8,"SMITHS FALLS",12
1960,8,"ST CATHARINES",47
1960,8,"ST THOMAS",16
1960,8,"STAMFORD TWP",10
1960,8,"STRATFORD",18
1960,8,"STURGEON FALLS",8
1960,8,"SUDBURY",96
1960,8,"TECK TWP",11
1960,8,"TECUMSEH",6
1960,8,"THOROLD",6
1960,8,"TILLSONBURG",7
1960,8,"TIMMINS",30
1960,8,"TORONTO",884
1960,8,"TORONTO TWP",11
1960,8,"TRENTON",13
1960,8,"WALLACEBURG",7
1960,8,"WATERLOO",12
1960,8,"WELLAND",29
1960,8,"WESTON",7
1960,8,"WHITBY",9
1960,8,"WINDSOR",97
1960,8,"WOODBRIDGE",7
1960,8,"WOODSTOCK",8
1960,8,"YORK TWP",29
1960,12,"ANCASTER",6
1960,12,"BARRIE",23
1960,12,"BELLEVILLE",22
1960,12,"BERTIE TWP",6
1960,12,"BRAMPTON",11
1960,12,"BRANTFORD",26
1960,12,"BURLINGTON",17
1960,12,"CHATHAM",20
1960,12,"CLINTON",6
1960,12,"COBOURG",8
1960,12,"COLLINGWOOD",6
1960,12,"CORNWALL",26
1960,12,"DRYDEN",6
1960,12,"E YORK TWP",6
1960,12,"EASTVIEW",11
1960,12,"ELLIOT LAKE",14
1960,12,"ETOBICOKE TWP",23
1960,12,"FOREST",7
1960,12,"FORT WILLIAM",33
1960,12,"GALT",12
1960,12,"GRIMSBY",6
1960,12,"GUELPH",23
1960,12,"HAMILTON",154
1960,12,"INGERSOLL",7
1960,12,"KINGSTON",19
1960,12,"KITCHENER",42
1960,12,"LEAMINGTON",11
1960,12,"LONDON",90
1960,12,"LONDON TWP",7
1960,12,"LONG BRANCH",10
1960,12,"MIDLAND",7
1960,12,"MIMICO",10
